time,position,velocity
0,2,49
0.01,2.49,48.902
0.02,2.97902,48.804
0.03,3.46706,48.706
0.04,3.95412,48.608
0.05,4.4402,48.51
0.05999999,4.9253,48.412
0.06999999,5.40942,48.314
0.07999999,5.89256,48.216
0.08999999,6.37472,48.118
0.09999999,6.8559,48.02
0.11,7.3361,47.922
0.12,7.81532,47.82401
0.13,8.29356,47.72601
0.14,8.77082,47.62801
0.15,9.2471,47.53001
0.16,9.7224,47.43201
0.17,10.19672,47.33401
0.18,10.67006,47.23601
0.19,11.14242,47.13801
0.2,11.6138,47.04001
0.21,12.0842,46.94201
0.22,12.55362,46.84401
0.23,13.02206,46.74601
0.24,13.48952,46.64801
0.25,13.956,46.55001
0.26,14.4215,46.45201
0.27,14.88602,46.35401
0.28,15.34956,46.25601
0.29,15.81212,46.15801
0.3,16.2737,46.06001
0.31,16.7343,45.96201
0.32,17.19392,45.86401
0.33,17.65256,45.76601
0.3399999,18.11022,45.66801
0.3499999,18.5669,45.57001
0.3599999,19.0226,45.47202
0.3699999,19.47732,45.37402
0.3799999,19.93106,45.27602
0.3899999,20.38382,45.17802
0.3999999,20.8356,45.08002
0.4099999,21.2864,44.98202
0.4199999,21.73622,44.88402
0.4299999,22.18506,44.78602
0.4399998,22.63293,44.68802
0.4499998,23.07981,44.59002
0.4599998,23.52571,44.49202
0.4699998,23.97062,44.39402
0.4799998,24.41457,44.29602
0.4899998,24.85753,44.19802
0.4999998,25.29951,44.10002
0.5099998,25.74051,44.00202
0.5199998,26.18053,43.90402
0.5299998,26.61957,43.80602
0.5399998,27.05763,43.70802
0.5499998,27.49471,43.61002
0.5599998,27.93081,43.51202
0.5699998,28.36593,43.41402
0.5799997,28.80007,43.31602
0.5899997,29.23323,43.21803
0.5999997,29.66541,43.12003
0.6099997,30.09661,43.02203
0.6199997,30.52683,42.92403
0.6299997,30.95607,42.82603
0.6399997,31.38433,42.72803
0.6499997,31.81161,42.63003
0.6599997,32.23792,42.53203
0.6699997,32.66323,42.43403
0.6799996,33.08757,42.33603
0.6899996,33.51093,42.23803
0.6999996,33.93331,42.14003
0.7099996,34.35471,42.04203
0.7199996,34.77514,41.94403
0.7299996,35.19458,41.84603
0.7399996,35.61304,41.74803
0.7499996,36.03052,41.65003
0.7599996,36.44702,41.55203
0.7699996,36.86254,41.45403
0.7799996,37.27708,41.35603
